net,length_um
net95,52.68µm
_2401_,52.595µm
_0509_,52.59µm
_3179_,52.495µm
_1341_,52.41µm
_2320_,52.39µm
_0840_,52.34µm
net74,52.34µm
net208,52.3µm
net602,52.14µm
_2514_,52.12µm
net333,52.08µm
_1848_,52.06µm
_3144_,52.04µm
_1834_,51.74µm
_2682_,51.68µm
_0269_,51.66µm
_1961_,51.64µm
_1888_,51.6µm
_3231_,51.26µm
net156,51.16µm
_2327_,50.755µm
_0859_,50.74µm
_2819_,50.74µm
net53,50.685µm
net207,50.62µm
_3326_,50.57µm
_0556_,50.3µm
_2156_,50.24µm
net206,49.88µm
_1628_,49.86µm
_0093_,49.78µm
net565,49.55µm
net96,49.53µm
_2062_,49.52µm
net759,49.44µm
net765,49.44µm
_0515_,49.42µm
_2229_,49.28µm
net462,49.24µm
net158,49.09µm
_2221_,48.96µm
net25,48.8µm
_1846_,48.8µm
_2314_,48.7µm
net248,48.15µm
_2079_,48.1µm
_1905_,47.98µm
_0235_,47.86µm
net473,47.78µm
_2275_,47.76µm
net132,47.68µm
_0271_,47.66µm
_2609_,47.62µm
A[2],47.57µm
_0768_,47.44µm
_0824_,47.16µm
_2089_,47.12µm
_3474_,46.9µm
_0095_,46.78µm
_1209_,46.78µm
_0331_,46.7µm
_2336_,46.64µm
_2833_,46.64µm
_3100_,46.62µm
_2410_,46.56µm
_3348_,46.51µm
_0747_,46.48µm
_2378_,46.34µm
_0317_,46.26µm
_1840_,45.98µm
_0614_,45.96µm
net75,45.8µm
_3450_,45.62µm
_3411_,45.58µm
_3423_,45.56µm
_3295_,45.44µm
_3147_,45.42µm
_3417_,45.42µm
_1247_,45.16µm
_1376_,45.06µm
_2092_,44.96µm
_2747_,44.94µm
_1652_,44.9µm
_3477_,44.86µm
_1075_,44.82µm
_0432_,44.64µm
net246,44.6µm
_0964_,44.56µm
_2686_,44.46µm
_0167_,44.44µm
net651,44.36µm
_3169_,44.34µm
_1642_,44.28µm
_2010_,44.23µm
_2273_,44.22µm
_0651_,44.14µm
_1829_,44.02µm
_0510_,43.93µm
_0194_,43.78µm
_2911_,43.78µm
_1139_,43.76µm
_0065_,43.6µm
_3422_,43.595µm
_1859_,43.53µm
_0066_,43.43µm
_2033_,43.36µm
_0867_,43.31µm
net510,43.26µm
_2846_,43.04µm
_0002_,42.94µm
_2827_,42.94µm
net735,42.94µm
net409,42.82µm
_2179_,42.76µm
_2222_,42.6µm
_1738_,42.54µm
_2885_,42.28µm
_2662_,42.26µm
_0994_,42.14µm
_1644_,42.14µm
_1266_,42.06µm
_1576_,42.04µm
_3431_,41.98µm
_1217_,41.92µm
_3134_,41.92µm
net97,41.92µm
_1688_,41.88µm
_2670_,41.84µm
_2817_,41.84µm
_3376_,41.81µm
_1908_,41.78µm
_0057_,41.72µm
_2839_,41.68µm
_1359_,41.64µm
_3187_,41.56µm
_1533_,41.54µm
_2109_,41.26µm
net99,41.2µm
_3355_,40.995µm
_0551_,40.96µm
net746,40.9µm
_3151_,40.56µm
_0499_,40.48µm
_0957_,40.46µm
_2689_,40.15µm
_2851_,40.01µm
_1300_,39.975µm
B[2],39.97µm
_1348_,39.92µm
_1994_,39.87µm
net717,39.83µm
_2736_,39.82µm
_1328_,39.74µm
_1194_,39.64µm
_3133_,39.58µm
_2278_,39.52µm
_2836_,39.5µm
_0035_,39.44µm
_2175_,39.32µm
_1606_,39.02µm
_0558_,39µm
net162,38.96µm
_0489_,38.94µm
net663,38.92µm
net658,38.84µm
_2433_,38.83µm
net682,38.7µm
_0999_,38.38µm
_2006_,38.305µm
net477,38.22µm
_1231_,38.12µm
_3238_,38.06µm
_0336_,38.02µm
_0554_,38.02µm
_0645_,38.02µm
_0064_,38µm
_0484_,38µm
_1394_,37.955µm
_2822_,37.94µm
net349,37.9µm
_1953_,37.72µm
net252,37.7µm
net464,37.69µm
_2008_,37.67µm
_1765_,37.58µm
_1196_,37.46µm
_0698_,37.42µm
_0087_,37.4µm
_2675_,37.12µm
_1322_,37.1µm
net73,37.1µm
_0517_,37.06µm
_0361_,36.98µm
_1256_,36.98µm
_1956_,36.89µm
_1174_,36.86µm
net51,36.78µm
_0016_,36.72µm
_2168_,36.72µm
_0327_,36.7µm
_2460_,36.62µm
_2717_,36.6µm
_1284_,36.56µm
_1939_,36.54µm
net625,36.52µm
_3359_,36.48µm
_1446_,36.465µm
_3350_,36.45µm
net331,36.365µm
_0329_,36.32µm
_2886_,36.14µm
_1861_,36.13µm
_1872_,36.08µm
net243,36.04µm
