net,length_um
_2161_,22.46
_1224_,22.4
_1497_,22.4
_0385_,22.36
_3835_,22.34
_2847_,22.3
_0686_,22.28
_0678_,22.26
_1325_,22.26
_1592_,22.24
_2077_,22.24
_3226_,22.24
_1989_,22.22
_0484_,22.2
_0718_,22.18
_2126_,22.04
_2433_,22.04
_0812_,22.02
_1361_,22.02
_0677_,21.97
_0697_,21.94
_0253_,21.92
_0414_,21.92
_0593_,21.92
_1194_,21.92
_2515_,21.92
_0469_,21.9
_0537_,21.9
_0551_,21.9
_3474_,21.9
_0581_,21.88
_0860_,21.88
_1823_,21.88
_0256_,21.82
_1880_,21.8
_3427_,21.8
_0425_,21.79
_0577_,21.76
_1496_,21.72
_1778_,21.72
_2422_,21.72
_0807_,21.7
_3249_,21.7
_3833_,21.7
_1121_,21.68
_3411_,21.68
_2836_,21.66
_2834_,21.62
_0002_,21.6
_0346_,21.58
_2958_,21.58
_3381_,21.58
_0267_,21.54
_1027_,21.44
_1376_,21.44
_1676_,21.44
_0170_,21.38
_3593_,21.38
_2399_,21.36
_3568_,21.36
_1821_,21.34
_1847_,21.34
_1066_,21.32
_0824_,21.3
_2707_,21.29
_1740_,21.28
_0866_,21.26
_2384_,21.26
_2387_,21.26
_1766_,21.24
_2727_,21.24
_3216_,21.24
_0617_,21.22
_2255_,21.22
_0973_,21.2
_3595_,21.18
_3058_,21.14
_3087_,21.14
_1069_,21.12
_1594_,21.1
_1828_,21.1
_3793_,21.1
_0765_,21.08
net107,21.05
_0904_,21.02
_1335_,21.02
_1264_,21
_1838_,21
_3632_,21
_0743_,20.98
_0892_,20.94
_0394_,20.88
_1432_,20.88
_2160_,20.86
_2642_,20.86
_2595_,20.82
_3822_,20.82
_1532_,20.8
_0768_,20.76
_1104_,20.76
_3101_,20.74
_2312_,20.7
_0038_,20.66
_0215_,20.66
_0667_,20.66
_1832_,20.66
_2018_,20.66
_2272_,20.66
_3435_,20.66
_2336_,20.6
_3607_,20.6
_0447_,20.58
_0690_,20.58
_0923_,20.58
_0434_,20.54
_2799_,20.54
_3551_,20.54
_3590_,20.54
_0125_,20.52
_2128_,20.52
_0489_,20.495
_1508_,20.46
_3209_,20.44
_2465_,20.43
_3580_,20.4
_2995_,20.36
_1176_,20.32
_1917_,20.32
net94,20.32
_2728_,20.3
_2992_,20.28
_2625_,20.2
_3422_,20.16
